tic,sale,xrd
AAL,17337,0
CECE,316.011,0
PNW,3586.982,0
PRG,2484.595,0
ABT,34608,2420
AMD,9763,1983
APD,8856.3,83.9
ALK,3566,0
ATRI,147.591,5.645
MATX,2383.3,0
ALX,209.979,0
ALCO,92.507,0
Y,8943.519,0
HON,32637,1334
SWKS,3355.7,473.9
HES,4667,0
ABM,5987.6,0
PRI,2217.541,0
ECOL,933.854,0
AEP,14918.5,0
AXP,38185,0
AFL,22715,0
AIG,43358,0
ANAT,3792.399,0
AVD,458.704,8.757
AME,4540.029,158.9
AMGN,25424,4207
ADI,5603.056,1050.519
ANDE,8208.436,0
NBR,2134.043,33.564
APA,4212,0
APOG,1230.774,15.3
AAPL,274515,18752
AMAT,17202,2234
EPAC,493.292,7.3
TREC,208.626,0
ADM,64355,160
ARCB,2940.163,0
ARW,28673.363,0
ASH,2326,64
ATRO,502.587,86.8
REX,372.846,0
ADSK,3790.4,932.5
ADP,14589.8,674.1
AVY,6971.5,112.8
AVT,17634.333,0
AZZ,838.917,0
BRT,22.078,0
BMI,425.544,11.6
BCPC,703.644,10.332
PTVCB,470.191,0
BLL,11781,47
BPOP,2603.863,0
BOH,730.833,0
BK,16940,0
B,1124.391,16.949
BAX,11673,521
AIT,3245.652,0
BDX,17117,1096
BELFB,465.771,23.611
VZ,128292,0
BBY,47262,0
BIO,2513.654,226.598
BKH,1696.941,0
BA,58656,2476
RHI,5109,0
BRC,1081.299,40.662
BMY,42518,22581
CAL,2117.07,0
BC,4347.5,125.9
MTRN,1176.274,20.283
MTZ,6320.975,0
UIS,2025.3,26.6
RAMP,443.026,135.111
CI,160216,0
CNA,10687,0
CSX,10583,0
CTS,424.066,24.317
TLS,179.917,14.243
CBT,2614,57
CACI,5720.042,0
CAMP,308.587,25.811
CWT,794.307,0
CPB,8691,93
STZ,8614.9,0
CAH,152922,0
CSL,4245.2,54.8
CRS,2181.1,28
CASY,8707.189,0
CAT,41748,1415
CATO,575.111,0
CVCO,1108.051,0
LUMN,20712,0
MGLN,4577.531,0
CMD,1016.048,32.372
CHE,2079.583,0
JPM,129503,0
CPK,488.198,0
CVX,94471,435
EAT,3078.5,0
CHD,4895.8,102.6
CHDN,1054,0
CBB,1559.8,0
IHRT,2948.218,0
CLF,5354,0
CLX,6721,145
COKE,5007.357,0
KO,33014,0
CDE,785.461,0
COHR,1228.999,115.578
COHU,636.007,97.4
CL,16471,290
CCF,261.162,4.007
AON,11066,0
CMCSA,103564,0
CMA,3094,0
CBSH,1389.547,0
C,88842,0
CMC,5476.486,0
CAR,5402,0
DXC,17729,0
CMTL,616.715,52.18
SSTK,666.686,46.038
ED,12246,0
BH,433.683,0
CTO,56.381,0
CMS,6680,0
CLR,2586.47,0
CTB,2521.074,64.14
COO,2430.9,93.3
TAP,9684.3,0
GLW,11408,1000
CUZ,748.287,0
CBRL,2522.792,0
CR,2936.9,74.6
OMF,4933,0
CCK,11575,53
CFR,1485.731,0
CMI,19811,903
CW,2391.336,74.816
WEN,1733.825,0
DAN,7106,146
DHR,22284,1348
TGT,93561,0
DE,35540,1644
DAL,17095,0
DLX,1790.781,0
DTE,12177,0
ATGE,1052.001,0
DBD,3902.3,133.4
DDS,4433.185,0
DIOD,1229.215,94.288
DIS,65388,0
DG,33746.839,0
D,14172,0
DCI,2588.6,61.2
DOV,6683.76,142.101
DD,20397,860
OMC,13171.1,0
DCO,628.941,0
DUK,24020,0
DNB,1738.1,0
FLS,3728.134,36.1
DY,3199.165,0
PKI,3782.745,205.389
EML,240.403,3.131
EGP,363.124,0
ETN,17858,551
ECL,11790.2,185
EMR,16785,439
ATO,2821.137,0
EBF,357.973,0
ENZ,74.525,4.448
EFX,4127.5,0
EQT,3058.843,0
ESCA,273.649,1.5
NEU,2010.931,140.367
EXPD,10116.481,0
BOOM,229.161,7.91
IIIN,472.618,0
XOM,178574,1016
FMC,4642.1,287.9
NEE,17997,0
FARM,501.32,0
FRT,842.026,0
FSS,1130.8,12.2
M,18097,0
FOE,958.954,35.616
FITB,8391,0
RF,6630,0
TRMK,742.928,0
FCNCA,1960.776,0
MTB,6281.156,0
USB,25241,0
FHN,2857,0
FLO,4387.991,4
FLR,15668.477,0
F,127144,7100
FSTR,497.411,2.643
FELE,1247.331,21.7
BEN,5566.5,0
FUL,2790.269,36.969
GATX,1209.2,0
AJG,7003.6,0
TGNA,2937.78,0
GPS,13800,46
AJRD,2072.7,55.8
GD,37925,374
GE,79619,2565
ALLY,10721,0
GM,122485,6200
SPXC,1559.5,28.4
GCO,1786.53,0
GNTX,1688.189,115.935
GPC,16537.433,0
GTY,147.034,0
GLT,916.498,0
GT,12287,390
GRC,348.967,0
GRA,1729.8,65.9
GGG,1650.115,72.194
GHM,97.489,0
GWW,11797,0
GTN,2381,0
GEF,4515,0
HAL,14445,309
LHX,18194,684
HSC,1863.864,3.246
HAS,5465.443,259.522
AMOT,366.694,25.487
HVT,748.252,0
HE,2579.775,0
HWKN,596.871,0
HCSG,1760.303,0
WELL,4597.884,0
STRL,1427.412,0
HL,691.873,0
HEI,1787.009,65.559
KHC,26185,119
HELE,2098.799,30.6
HP,1773.927,21.645
HSY,8149.719,37.577
HPQ,56639,1478
HXL,1502.4,46.6
HRC,2881,136.5
HLT,4307,0
HFC,11183.643,0
HD,132110,0
HNI,1955.363,35.318
HRL,9608.462,31.9
CNP,7418,0
UBA,130.002,0
HUBB,4186,0
JBHT,9636.573,0
HBAN,5233,0
HURC,170.627,3.5
ITT,2477.8,84.9
RYN,859.154,0
IDA,1350.729,0
ITW,12574,214
TT,12454.7,165
RYI,3466.6,0
GFF,2407.522,15.4
INTC,77867,13556
INS,35.873,5.153
TILE,1103.262,18.6
IBM,73620,6333
IFF,5084.239,356.863
NAV,7503,321
IDCC,358.991,84.646
IP,20580,0
IPG,9061,0
IVC,850.689,12.275
J,13566.975,0
EME,8797.061,0
JNJ,82584,12340
JCI,22317,274
KLAC,5806.424,863.864
KMI,11700,0
KAMN,784.459,14.1
KSU,2632.6,0
EVRG,4913.4,0
K,13770,135
KELYA,4516,0
KMT,1885.305,38.7
KBAL,727.859,5
KMB,19140,276
KEX,2171.408,0
KR,132498,0
LYTS,305.558,3.6
SR,1855.4,0
LRCX,10044.736,1252.412
LANC,1334.388,0
LAWS,351.591,0
LEG,4280.2,0
LEN,22488.854,0
JEF,6955.93,0
LLY,24539.8,6746.1
LB,11847,0
LECO,2655.4,51.414
LNC,17242,0
LMT,65398,1300
L,13633,0
RRC,1967.046,0
LPX,2788,0
LOW,89597,0
LDL,764.041,10.3
MDC,3901.211,0
MDU,5532.75,0
MGEE,538.633,0
MTW,1443.4,30.6
MRO,3213,0
MCS,237.688,0
HST,1598,0
MMC,17224,0
MAS,7188,0
MAT,4583.66,189.494
MLP,7.54,0
MKC,5601.3,68.6
MCD,19207.8,0
MGRC,572.554,0
SPGI,7442,0
MCK,238228,74
GENC,77.42,3.061
MDT,30117,2524
CVS,268399,0
MRK,47994,13558
MDP,2848.6,0
MLAB,133.937,10.388
EVI,235.802,0
SIEB,54.872,0
MU,21435,2600
ETR,10113.636,0
MSEX,141.592,0
MSA,1348.223,58.268
MMM,32184,1878
ALE,1169.1,0
MOD,1808.4,0
MNR,178.262,0
QDEL,1661.668,84.292
MSI,7414,686
MUR,1954.37,0
MYE,510.369,0
VTRS,11946,592.5
BAC,93753,0
NCR,6207,234
NL,114.537,0
NSSC,101.359,7.257
NFG,1546.291,0
NHC,977.928,0
THC,17640,0
GPX,473.107,0
NPK,354.7,0
NATR,385.205,1.5
NJR,1953.668,0
NYT,1783.639,132.428
NWL,9385,144
NEM,11497,0
NR,492.625,0
NDSN,2121.1,63.591
JWN,10715,0
NSC,9789,0
NC,128.432,0
MOV,506.397,0
ES,8904.43,0
NI,4681.7,0
XEL,11526,0
NTRS,6301.1,0
NOC,36799,1100
TEX,3076.4,58.9
NWN,773.679,0
NWE,1198.67,0
WFC,80303,0
NUE,20139.658,0
OXY,17809,0
OII,1827.889,0
VTOL,1178.062,0
FE,10790,0
ODC,283.227,2.765
OGE,2122.3,0
OLN,5758,16.6
OLP,82.128,0
OKE,8542.242,0
OTTR,890.107,0
OSG,418.692,0
OMI,8480.177,0
OC,7055,82
OI,6103,75
OXM,762.857,0
PNC,18262,0
PPG,13841,379
PCAR,18728.5,273.9
PCG,18469,0
SRE,11370,0
