ticker,current_assets,total_assets,ebit,current_liabilities,total_liabilities,retained_earnings,total_sales,credit_rating,book_value_per_share,shares_issued,shares_outstanding,inventory,acct_receivable,total_equity,working_cap,mkt_value,cogs,net_income,interest_exp
ARXX,328.354,638.022,47.473,119.215,150.352,95.273,551.846,17,6.4789,75.27,75.27,133.42,120.296,,209.139,878.4009,275.636,26.959,0.608
ABT,11281.883,36178.172,4860.219,11951.195,22123.986,9958.494,22476.322,5,9.1425,1550.59,1537.243,2806.421,4231.142,14054.186,-669.312,74879.1065,7759.397,1716.755,416.172
AMD,3963,13147,401,2852,7072,464,5649,17,10.5759,553,547,814,1150,5785,1111,11131.45,2066,-166,136
APD,2612.6,11180.7,1013.5,2323.4,6078.7,5521.8,8850.4,8,22.665,249.456,217.251,701.1,1694.7,4924,289.2,14418.9489,5841.8,723.4,135.8
HON,12304,30941,3544,10135,21221,11256,31367,8,12.141,957.6,800.592,3588,5740,,2169,36218.7821,22830,2083,396
HES,5848,22404,3618,6739,14293,6107,28067,12,25.7477,315.018,315.018,1005,3873,8111,-891,15615.4423,21292,1916,301
WYE,17514.241,36478.715,5370.348,7221.848,21825.96,8062.033,20350.655,8,10.8922,1422.593,1345.25,2480.459,3383.341,,10292.393,68500.13,4655.612,4196.706,570.247
APFC,77.343,239.455,6.659,43.922,167.571,1.209,141.904,17,9.8149,9.359,7.324,39.755,26.984,71.884,33.421,56.1018,76.862,-3.894,11.431
AME,684.063,2130.876,308.994,480.9,1164.204,868.827,1819.29,11,9.1145,108.48,106.059,236.783,328.762,966.672,203.163,3376.9186,1244.913,181.934,42.167
AMGN,11712,33788,5059,7022,14824,-5191,14268,7,16.2642,1166,1166,1903,2124,18964,4690,79649.46,1453,2950,172
ANDW,1153.021,2408.921,86.173,567.886,901.646,874.041,2146.093,14,9.5845,162.477,157.261,388.296,557.834,,585.135,1454.6643,1610.814,-34.29,15.345
KTO,844.218,1235.454,85.424,283.542,695.817,-32.602,1394.656,14,10.9207,50.177,49.414,384.983,401.563,,560.676,651.7707,871.425,37.688,29.347
AMAT,6081.019,9480.837,2246.734,2436.045,2829.437,9453.293,9167.014,9,4.7792,1770.165,1391.73,1406.777,2026.199,6651.4,3644.974,24202.1847,4604.799,1516.663,36.096
ADM,11826.277,21269.03,1793.131,6164.767,11462.15,4295.861,36596.111,8,14.9567,671.985,655.685,4677.508,4471.201,9806.88,5661.51,27066.6768,32973.583,1312.07,376.18
AVY,1655.4,4293.6,517.3,1698.8,2613.1,2089.8,5575.9,9,17.0934,124.127,98.313,471.8,910.2,,-43.4,6678.4021,3882.1,367.2,60.5
AVP,3334.4,5238.2,1011.2,2550.1,4410.8,2740.5,8763.9,8,1.7907,732.74,441.39,900.3,700.4,790.4,784.3,14583.5256,3299.8,477.6,110.2
BHI,4967.8,8705.7,1983,1621.9,3462.8,3322.4,9027.4,8,16.3892,319.9,319.9,1528.8,2055.1,5242.9,3345.9,23883.734,5346.1,2419,68.9
BEZ,304.147,523.982,81.059,91.56,219.153,402.454,811.28,15,9.4147,41.475,32.378,116.287,118.302,,212.587,1082.0728,577.483,48.118,6.069
BLL,1761.3,5840.9,476,1454.3,4674.5,1505.8,6621.5,13,11.191,160.027,104.137,935.4,579.5,1165.4,307,4540.3732,5605.7,329.6,142.5
BCR,1133.9,2277.2,475.3,295.9,579.2,1012.5,1985.5,8,16.4607,103.155,103.155,224.6,334.8,1698,838,8558.7704,697.8,272.1,16.9
BAX,6970,14686,1935,3610,8414,1845,10378,8,9.6421,683.495,650.479,2066,1838,6272,3360,30175.7208,5003,1397,116
BDX,3185.253,6824.525,1150.183,1576.329,2988.321,5316.889,5840.179,7,15.6281,332.662,245.468,875.738,885.748,3836.204,1608.924,17347.2236,2408.553,752.28,86.001
BLC,384.163,3614.278,292.493,258.912,2087.13,469.812,1588.272,12,14.9287,102.296,102.296,20.924,276.825,,125.251,1844.6016,1200.047,130.526,95.654
BMS,1093.712,3039.009,348.18,555.455,1537.808,1460.845,3639.363,8,14.0405,116.114,104.841,467.853,448.382,1472.016,538.257,3562.4972,2785.692,176.296,52.123
BIO,1129.777,1596.168,142.111,319.533,776.63,741.305,1262.23,13,30.9213,26.504,26.504,253.045,292.97,819.538,810.244,2191.4309,507.394,103.263,32.022
BDK,2703.4,5247.7,740.4,1779.6,4084.1,1130.2,6447.3,11,17.4361,66.735,66.735,1063.5,1149.6,,923.8,5336.798,4052.3,486.1,103.4
