gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c
001004,20200531,2019,INDL,C,D,STD,AIR,USD,902.6000,35.0970,108.4000,4.4000,2089.3000,A,45.1000
001045,20191231,2019,INDL,C,D,STD,AAL,USD,-118.0000,428.2030,3706.0000,1686.0000,45768.0000,A,28.6800
001050,20191231,2019,INDL,C,D,STD,CECE,USD,193.0170,35.1370,19.6220,17.7070,341.8690,A,7.6600
001075,20191231,2019,INDL,C,D,STD,PNW,USD,5430.6480,112.4360,671.9600,538.3200,3471.2090,A,89.9300
001076,20191231,2019,INDL,C,D,STD,PRG,USD,1737.2590,66.7180,313.9310,31.4720,3947.6560,A,57.1100
001078,20191231,2019,INDL,C,D,STD,ABT,USD,31088.0000,1762.5030,5041.0000,3687.0000,31904.0000,A,86.8600
001161,20191231,2019,INDL,C,D,STD,AMD,USD,2827.0000,1170.0000,583.0000,341.0000,6731.0000,A,45.8600
001209,20190930,2019,INDL,C,D,STD,APD,USD,11053.6000,220.4150,2120.5000,1760.0000,8918.9000,A,234.9900
001230,20191231,2019,INDL,C,D,STD,ALK,USD,4331.0000,123.0000,1107.0000,769.0000,8781.0000,A,67.7500
001234,20191231,2019,INDL,C,D,STD,ATRI,USD,237.8700,1.8550,40.5290,36.7610,155.0660,A,751.5000
001254,20191231,2019,INDL,C,D,STD,MATX,USD,805.7000,42.9000,108.3000,82.7000,2203.1000,A,40.8000
001257,20191231,2019,INDL,C,D,STD,ALX,USD,253.5150,5.1070,99.4890,60.0750,226.3500,A,330.3500
001266,20190930,2019,INDL,C,D,STD,ALCO,USD,194.3030,7.4770,29.8280,37.8330,122.2510,A,35.8300
001274,20191231,2019,INDL,C,D,STD,Y,USD,8776.7340,14.3650,1208.5930,857.8010,9025.7160,A,799.5700
001300,20191231,2019,INDL,C,D,STD,HON,USD,18494.0000,711.1000,7397.0000,6143.0000,36709.0000,A,177.0000
001327,20190930,2019,INDL,C,D,STD,SWKS,USD,4122.3000,170.1000,1042.1000,853.6000,3376.8000,A,120.8800
001380,20191231,2019,INDL,C,D,STD,HES,USD,8732.0000,304.9550,637.0000,-408.0000,6495.0000,A,66.8100
001393,20200331,2019,INDL,C,D,STD,UHAL,USD,4220.7200,19.6080,512.3130,442.0480,3978.8680,A,375.8200
001410,20191031,2019,INDL,C,D,STD,ABM,USD,1542.0000,66.5710,225.9000,127.4000,6498.6000,A,37.7100
001414,20191231,2019,INDL,C,D,STD,PRI,USD,1652.4910,41.2070,505.9220,366.3910,2052.5040,A,130.5600
001439,20191231,2019,INDL,C,D,STD,ECOL,USD,1011.3800,31.4610,74.0940,33.1400,685.5090,A,57.9100
001440,20191231,2019,INDL,C,D,STD,AEP,USD,19632.2000,494.1690,2592.3000,1921.1000,15561.4000,A,94.5100
001447,20191231,2019,INDL,C,D,STD,AXP,USD,23071.0000,810.0000,9582.0000,6759.0000,47020.0000,A,124.4900
001449,20191231,2019,INDL,C,D,STD,AFL,USD,28959.0000,726.7930,4735.0000,3304.0000,22369.0000,A,52.9000
001487,20191231,2019,INDL,C,D,STD,AIG,USD,65190.0000,869.9990,6617.0000,3348.0000,49310.0000,A,51.3300
001526,20191231,2019,INDL,C,D,STD,ANAT,USD,5989.7490,26.8870,694.3770,620.3630,4070.1430,A,117.6800
001562,20200430,2019,INDL,C,D,STD,AMSWA,USD,119.4220,32.2340,6.0480,6.7420,115.4660,A,14.8800
001585,20191231,2019,INDL,C,D,STD,AVD,USD,344.1560,30.1730,21.6010,13.6010,468.1860,A,19.4700
001598,20191231,2019,INDL,C,D,STD,AME,USD,5115.4920,229.0830,1177.3800,861.2970,5158.5570,A,99.7400
001602,20191231,2019,INDL,C,D,STD,AMGN,USD,9673.0000,591.4000,9721.0000,7842.0000,23362.0000,A,241.0700
001632,20191031,2019,INDL,C,D,STD,ADI,USD,11709.1880,368.3020,1806.2670,1363.0110,5991.0650,A,118.8400
001659,20191231,2019,INDL,C,D,STD,ANDE,USD,973.6100,33.3430,90.3870,18.3070,8170.1910,A,25.2800
001661,20191231,2019,INDL,C,D,STD,NBR,USD,1982.8050,363.3980,-76.3550,-702.8850,3043.3830,A,2.8800
001678,20191231,2019,INDL,C,D,STD,APA,USD,3255.0000,376.0630,-2627.0000,-3553.0000,6280.0000,A,25.5900
001686,20200229,2019,INDL,C,D,STD,APOG,USD,516.7780,26.4430,87.8480,61.9140,1387.4390,A,32.5000
001690,20190930,2019,INDL,C,D,STD,AAPL,USD,90488.0000,4443.2360,63930.0000,55256.0000,260174.0000,A,293.6500
001704,20191031,2019,INDL,C,D,STD,AMAT,USD,8214.0000,916.0000,3372.0000,2706.0000,14608.0000,A,61.0400
001706,20190831,2019,INDL,C,D,STD,EPAC,USD,301.1790,60.4650,76.3160,-249.1450,654.7580,A,26.0300
001712,20191231,2019,INDL,C,D,STD,TREC,USD,171.1540,24.7500,13.2890,-14.9740,258.9590,A,7.1500
