tic,equity,shares,ebit,net_income,sale,price
AIR,902.6,35.097,108.4,4.4,2089.3,45.1
AAL,-118,428.203,3706,1686,45768,28.68
CECE,193.017,35.137,19.622,17.707,341.869,7.66
PNW,5430.648,112.436,671.96,538.32,3471.209,89.93
PRG,1737.259,66.718,313.931,31.472,3947.656,57.11
ABT,31088,1762.503,5041,3687,31904,86.86
AMD,2827,1170,583,341,6731,45.86
APD,11053.6,220.415,2120.5,1760,8918.9,234.99
ALK,4331,123,1107,769,8781,67.75
ATRI,237.87,1.855,40.529,36.761,155.066,751.5
MATX,805.7,42.9,108.3,82.7,2203.1,40.8
ALX,253.515,5.107,99.489,60.075,226.35,330.35
ALCO,194.303,7.477,29.828,37.833,122.251,35.83
Y,8776.734,14.365,1208.593,857.801,9025.716,799.57
HON,18494,711.1,7397,6143,36709,177
SWKS,4122.3,170.1,1042.1,853.6,3376.8,120.88
HES,8732,304.955,637,-408,6495,66.81
UHAL,4220.72,19.608,512.313,442.048,3978.868,375.82
ABM,1542,66.571,225.9,127.4,6498.6,37.71
PRI,1652.491,41.207,505.922,366.391,2052.504,130.56
ECOL,1011.38,31.461,74.094,33.14,685.509,57.91
AEP,19632.2,494.169,2592.3,1921.1,15561.4,94.51
AXP,23071,810,9582,6759,47020,124.49
AFL,28959,726.793,4735,3304,22369,52.9
AIG,65190,869.999,6617,3348,49310,51.33
ANAT,5989.749,26.887,694.377,620.363,4070.143,117.68
AMSWA,119.422,32.234,6.048,6.742,115.466,14.88
AVD,344.156,30.173,21.601,13.601,468.186,19.47
AME,5115.492,229.083,1177.38,861.297,5158.557,99.74
AMGN,9673,591.4,9721,7842,23362,241.07
ADI,11709.188,368.302,1806.267,1363.011,5991.065,118.84
ANDE,973.61,33.343,90.387,18.307,8170.191,25.28
NBR,1982.805,363.398,-76.355,-702.885,3043.383,2.88
APA,3255,376.063,-2627,-3553,6280,25.59
APOG,516.778,26.443,87.848,61.914,1387.439,32.5
AAPL,90488,4443.236,63930,55256,260174,293.65
AMAT,8214,916,3372,2706,14608,61.04
EPAC,301.179,60.465,76.316,-249.145,654.758,26.03
TREC,171.154,24.75,13.289,-14.974,258.959,7.15
ADM,19208,557,1671,1379,64656,46.35
ARCB,763.043,25.406,84.392,39.985,2988.31,27.6
ARW,4811.919,80.62,957.348,-204.087,28916.847,84.74
ASH,3571,60,264,505,2493,76.53
ATRO,388.857,30.998,50.156,52.017,772.702,27.95
REX,401.007,6.292,-6.773,7.427,418.034,81.96
ADSK,-139.1,219.4,366.8,214.5,3274.3,183.46
ADP,5399.9,434.2,3080.8,2292.8,14175.2,170.5
AVY,1204,83.367,823.7,303.6,7070.1,130.82
AVT,4140.473,104.038,611.451,176.337,19518.592,42.44
AZZ,634.366,26.148,107.132,48.234,1061.817,45.95
BRT,199.653,15.638,0.528,0.856,28.867,16.97
BMI,331.068,29.119,62.148,47.177,424.625,64.93
