,tic,RetEarly2020,RetLate2020,ggroup
0,JJSF,-0.3402344928,0.3003404139,3020
1,PLXS,-0.2908758886,0.4334691012,4520
2,HNGR,-0.435711705,0.4114245342,3510
3,ORCL,-0.08359556983,0.3561660646,4510
4,MSFT,0.003212116413,0.42113937490000003,4510
5,TROW,-0.1911520929,0.5819420639,4020
6,HON,-0.2399298573,0.6156442885,2010
7,AMRC,-0.026857205730000003,2.067522046,2010
8,RGEN,0.04367615927,0.9849809694,3520
9,BWXT,-0.21230673309999998,0.2496885711,2010
10,PTVCB,-0.13943892060000002,0.01837618925,4030
11,INDB,-0.2212609479,0.1597619334,4010
12,HVT,-0.4079204332,1.646724844,2550
13,HVT,-0.40029755219999996,1.5646181940000001,2550
14,TMP,-0.2101668886,0.007703186162,4010
15,BCPC,-0.028633480489999995,0.1730152295,1510
16,DJCO,-0.213897437,0.7695982225,5020
17,ASTE,-0.1647615197,0.6660364695000001,2010
18,WERN,-0.001139265537,0.09134701982000001,2030
19,SKYW,-0.592604183,0.5391355478000001,2030
20,FRPH,-0.136719369,0.05930124789,6010
21,AMWD,-0.5639648875,1.0594696959999998,2010
22,ADM,-0.2337343757,0.46821262880000003,3020
23,VIVO,-0.14022497890000002,1.225001345,3510
24,CLFD,-0.149928968,1.086076385,4520
25,WTS,-0.1493850992,0.44796106469999997,2010
26,FNB,-0.41023616560000004,0.34990686369999996,4010
27,EHC,-0.0716045315,0.3072651731,3510
28,FISV,-0.17850067739999997,0.19865145350000002,4510
29,FCNCA,-0.3738000593,0.7304927868000001,4010
30,HTLD,-0.1168646842,-0.022244225559999997,2030
31,OSUR,0.3399751729,-0.01626396049,3510
32,CAL,-0.7781051585,2.0707737059999998,2550
33,BC,-0.40764328130000005,1.181158729,2520
34,UIS,0.041314770730000006,0.5935197482,4510
35,WSFS,-0.4315350972,0.8218968198000001,4010
36,ITIC,-0.1932157045,0.31283717899999997,4030
37,CERN,-0.1417089255,0.2590623298,3510
38,WBS,-0.5663179882,0.9137963348,4010
39,MKL,-0.1883183124,0.1136010554,4030
40,AXGN,-0.41866925850000003,0.7211543892,3510
41,FLIC,-0.29533392210000003,0.054060147120000006,4010
42,FBP,-0.49447610770000006,0.7752962226000001,4010
43,AVD,-0.2562918382,0.07468962646,1510
44,PLAB,-0.3489851096,0.08771904092,4530
45,CRMT,-0.4861389131,0.9492434208,2550
46,ARGO,-0.4332438154,0.21052218050000002,4030
47,OFG,-0.5235068954,0.68269808,4010
48,CATO,-0.36781608409999994,-0.10121902630000001,2550
49,FBNC,-0.4171885505,0.4969081951,4010
50,WSBC,-0.36438223909999995,0.3172085254,4010
51,KO,-0.1931346093,0.27110068789999997,3020
52,SAFM,-0.2985662041,0.08131604208,3020
53,CNBKA,-0.3071711813,0.250218717,4010
54,UBSI,-0.3939476191,0.46035939299999995,4010
55,ENV,-0.2276308675,0.5301227102,4510
56,WASH,-0.3108389506,0.2798509499,4010
57,CDNS,-0.047866264139999996,1.065869945,4510
58,ED,-0.1294677973,-0.044490616260000004,5510
59,CHCO,-0.1820494132,0.07386520571,4010
60,EBIX,-0.5443563372,1.5244016969999998,4510
61,CECE,-0.3903392854,0.4903654468,2020
62,FICO,-0.178792245,0.6608933463000001,4510
63,CNMD,-0.4860947914,0.9695799618000001,3510
64,HBNC,-0.4773721748,0.660691005,4010
65,EPAC,-0.36419505469999996,0.36922969590000004,2010
66,ATRI,-0.1330008506,-0.0038683001700000005,3510
67,XRAY,-0.3120694712,0.3571798613,3510
68,FAST,-0.1482006323,0.6038876131,2010
69,CPF,-0.4573057185,0.2479430063,4010
70,HRTX,-0.5004247696,0.8028132766,3520
71,GDOT,0.08969921083999999,1.197716548,4020
72,DTE,-0.26093444120000003,0.3134366849,5510
73,MATX,-0.24453876100000002,0.8930976654,2030
74,IMKTA,-0.23588473,0.19485123769999999,3010
75,AIN,-0.37407756670000003,0.5664857521,2010
76,IIVI,-0.1535492783,1.665262321,4520
77,ETN,-0.1720857194,0.5803180879,2010
78,JOUT,-0.18076159670000003,0.8086328344,2520
79,SIVB,-0.39818337649999996,1.56705011,4010
80,ALCO,-0.1311737844,0.011225838770000001,3020
81,MITK,0.030065061549999997,1.256346043,4510
82,CLH,-0.401282556,0.48227506740000003,2020
83,CYBE,-0.06909627908,0.326123108,4530
84,CTBI,-0.3102489241,0.2074595564,4010
85,XOM,-0.4466581165,0.1562577001,1010
86,IPAR,-0.35799775549999996,0.3050702033,3030
87,MGM,-0.6408169459,1.671254974,2530
88,MXIM,-0.2029018985,0.8517741859,4530
89,WM,-0.1830021797,0.29276312320000003,2020
90,KKR,-0.1918904448,0.746300463,4020
91,TCF,-0.5111616247,0.6924662098000001,4010
92,COKE,-0.2651904204,0.2810369613,3020
93,DY,-0.4559914294,1.944247911,2010
94,QUAD,-0.4435225744,0.5158748352,2020
95,GATX,-0.2398330808,0.35795040520000004,2010
96,GORO,-0.5022950522,0.06723959546,1510
97,GD,-0.2453680226,0.15232973460000002,2010
98,GE,-0.2876338634,0.36564148020000004,2010
99,LH,-0.2528820028,0.6104885571,3510
100,ONB,-0.27243448010000004,0.2924608831,4010
101,WSR,-0.53086165,0.34683830509999997,6010
102,PBCT,-0.3386275276,0.22688440710000002,4010
103,SIG,-0.6987957364,3.227910288,2550
104,COR,0.04459421567,0.11385883960000001,6010
105,FRBK,-0.4760768272,0.3013710206,4010
106,HIFS,-0.3069019708,0.5089645527000001,4010
107,LNN,-0.04295582572,0.41589440380000003,2010
108,MGPI,-0.44251780890000003,0.7664656254000001,3020
109,CDMO,-0.3337684393,1.258318939,3520
110,AMRS,-0.17152040079999997,1.4121083319999999,1510
111,CHTR,-0.1005402489,0.5162392426,5020
112,EFC,-0.6747558893000001,1.776799702,4020
113,LYB,-0.4669852965,0.9299887322,1510
114,PACB,-0.40466978509999996,7.477125049,3520
115,VRA,-0.6508478521,0.9320375125,2520
116,BAH,-0.030810985930000003,0.2842269018,2020
117,GM,-0.42185764049999996,1.00385072,2510
118,HHC,-0.6015774643,0.5623519996999999,6010
119,CMRE,-0.5197275472,0.942968398,2030
120,LPLA,-0.40726283909999994,0.9326129665,4020
121,ZGNX,-0.5256094179999999,-0.19166894510000002,3520
122,FRC,-0.2982455003,0.7951805284000001,4010
123,FLT,-0.3516615708,0.462581003,4510
124,INFU,-0.004689682052,1.212013059,3510
125,KNX,-0.08258942271000001,0.2824059714,2030
126,TRGP,-0.8265420645,2.892262468,1010
127,WD,-0.37393955840000004,1.330979172,4010
128,ACNB,-0.2002632204,-0.13972191609999998,4010
129,IBM,-0.1621105859,0.1801444665,4510
130,QADA,-0.21598287160000001,0.5922479146999999,4510
131,ASMB,-0.2751705523,-0.5920424174000001,3520
132,NAV,-0.4301998985,1.665860208,2010
133,AAT,-0.44880164159999997,0.1857497907,6010
134,BKU,-0.4852566972,0.9203081047,4010
135,IBIO,3.257028823,-0.009432952727,3520
136,NLSN,-0.3793100152,0.683780533,2020
137,KMI,-0.33458920010000004,0.03937466718,1010
138,NPTN,-0.1780050391,0.2537937307,4530
139,INN,-0.6513824686999999,1.135070823,6010
140,ITT,-0.3839942179,0.7114786773999999,2010
141,ACRX,-0.44075838520000005,0.0508476936,3520
142,FLDM,-0.2701156363,1.362206297,3520
143,PCRX,-0.2598231471,0.7846712831,3520
144,USCR,-0.5645703707999999,1.203415079,1510
145,APO,-0.2828399929,0.5078365782,4020
146,FF,-0.08502980678,0.4738130547,1510
147,HCA,-0.3900666791,0.8303852408,3510
148,HII,-0.2700766589,-0.04642459095,2010
149,CSOD,-0.45772847060000005,0.3870848858,4510
150,AL,-0.5309344068,1.034181449,2010
151,KSU,-0.16701515050000001,0.6163831173,2030
152,APTS,-0.44125432579999996,0.1142835393,6010
153,STAG,-0.2771074016,0.44188942579999996,6010
154,RLJ,-0.5637693460000001,0.8382612244,6010
155,ECOL,-0.47329796,0.1950648023,2020
156,SR,-0.09851718182,-0.11295736029999999,5510
157,THR,-0.43768696090000003,0.037160325460000004,2010
158,KOS,-0.8349473873000001,1.6239373769999998,1010
159,SAVE,-0.6802277748000001,0.8968167464,2030
160,WIFI,-0.03105065704,0.1988678785,5010
161,MPC,-0.6031719642,0.8360589479,1010
162,AMCX,-0.3845566964,0.47141255130000004,5020
163,SXC,-0.37397928119999996,0.1846072601,1510
164,CHEF,-0.73576481,1.5511434169999998,3010
165,HZNP,-0.1817677361,1.4696161069999998,3520
166,FBHS,-0.3355049296,1.0011808420000001,2010
167,VER,-0.4558980901,0.5987637479,6010
168,FMNB,-0.2806376472,0.17283919539999998,4010
169,LCNB,-0.3397270215,0.2098091577,4010
170,XYL,-0.1705926524,0.5783511486999999,2010
171,UI,-0.2491631994,0.977876882,4520
172,VAC,-0.5659361745,1.4688759690000002,2530
173,APTV,-0.48006021,1.64601707,2510
174,ACHC,-0.4476227865,1.738966794,3510
175,CLVS,-0.38992777009999996,-0.245282002,3520
176,GRPN,-0.5898739946,0.9381241455,2550
177,BCEI,-0.5179945256,0.7182230358,1010
178,CPRI,-0.717169097,2.892496485,2520
179,FBIO,-0.2645914879,0.6772478156999999,3520
180,TRIP,-0.4275833891,0.6549743255,5020
181,ZNGA,0.1192805388,0.4408749979,5020
182,GWRE,-0.2774898749,0.6231238597,4510
