tic,RetEarly2020,RetLate2020
JJSF,-0.3402344928,0.3003404139
PLXS,-0.2908758886,0.4334691012
HNGR,-0.435711705,0.4114245342
ORCL,-0.08359556983,0.3561660646
MSFT,0.003212116413,0.4211393749
TROW,-0.1911520929,0.5819420639
HON,-0.2399298573,0.6156442885
AMRC,-0.02685720573,2.067522046
RGEN,0.04367615927,0.9849809694
BWXT,-0.2123067331,0.2496885711
PTVCB,-0.1394389206,0.01837618925
INDB,-0.2212609479,0.1597619334
HVT,-0.4079204332,1.646724844
TMP,-0.2101668886,0.007703186162
BCPC,-0.02863348049,0.1730152295
DJCO,-0.213897437,0.7695982225
ASTE,-0.1647615197,0.6660364695
WERN,-0.001139265537,0.09134701982
SKYW,-0.592604183,0.5391355478
FRPH,-0.136719369,0.05930124789
AMWD,-0.5639648875,1.059469696
ADM,-0.2337343757,0.4682126288
VIVO,-0.1402249789,1.225001345
CLFD,-0.149928968,1.086076385
WTS,-0.1493850992,0.4479610647
FNB,-0.4102361656,0.3499068637
EHC,-0.0716045315,0.3072651731
FISV,-0.1785006774,0.1986514535
FCNCA,-0.3738000593,0.7304927868
HTLD,-0.1168646842,-0.02224422556
OSUR,0.3399751729,-0.01626396049
CAL,-0.7781051585,2.070773706
BC,-0.4076432813,1.181158729
UIS,0.04131477073,0.5935197482
WSFS,-0.4315350972,0.8218968198
ITIC,-0.1932157045,0.312837179
CERN,-0.1417089255,0.2590623298
WBS,-0.5663179882,0.9137963348
MKL,-0.1883183124,0.1136010554
AXGN,-0.4186692585,0.7211543892
FLIC,-0.2953339221,0.05406014712
FBP,-0.4944761077,0.7752962226
AVD,-0.2562918382,0.07468962646
PLAB,-0.3489851096,0.08771904092
CRMT,-0.4861389131,0.9492434208
ARGO,-0.4332438154,0.2105221805
OFG,-0.5235068954,0.68269808
CATO,-0.3678160841,-0.1012190263
FBNC,-0.4171885505,0.4969081951
WSBC,-0.3643822391,0.3172085254
KO,-0.1931346093,0.2711006879
SAFM,-0.2985662041,0.08131604208
CNBKA,-0.3071711813,0.250218717
UBSI,-0.3939476191,0.460359393
ENV,-0.2276308675,0.5301227102
WASH,-0.3108389506,0.2798509499
CDNS,-0.04786626414,1.065869945
ED,-0.1294677973,-0.04449061626
CHCO,-0.1820494132,0.07386520571
EBIX,-0.5443563372,1.524401697
CECE,-0.3903392854,0.4903654468
FICO,-0.178792245,0.6608933463
CNMD,-0.4860947914,0.9695799618
HBNC,-0.4773721748,0.660691005
EPAC,-0.3641950547,0.3692296959
ATRI,-0.1330008506,-0.00386830017
XRAY,-0.3120694712,0.3571798613
FAST,-0.1482006323,0.6038876131
CPF,-0.4573057185,0.2479430063
HRTX,-0.5004247696,0.8028132766
CRK,-0.3450787592,-0.1892391935
GDOT,0.08969921084,1.197716548
DTE,-0.2609344412,0.3134366849
MATX,-0.244538761,0.8930976654
IMKTA,-0.23588473,0.1948512377
AIN,-0.3740775667,0.5664857521
IIVI,-0.1535492783,1.665262321
ETN,-0.1720857194,0.5803180879
JOUT,-0.1807615967,0.8086328344
SIVB,-0.3981833765,1.56705011
ALCO,-0.1311737844,0.01122583877
MITK,0.03006506155,1.256346043
CLH,-0.401282556,0.4822750674
CYBE,-0.06909627908,0.326123108
CTBI,-0.3102489241,0.2074595564
XOM,-0.4466581165,0.1562577001
IPAR,-0.3579977555,0.3050702033
MGM,-0.6408169459,1.671254974
MXIM,-0.2029018985,0.8517741859
WM,-0.1830021797,0.2927631232
KKR,-0.1918904448,0.746300463
TCF,-0.5111616247,0.6924662098
COKE,-0.2651904204,0.2810369613
DY,-0.4559914294,1.944247911
QUAD,-0.4435225744,0.5158748352
GATX,-0.2398330808,0.3579504052
GORO,-0.5022950522,0.06723959546
GD,-0.2453680226,0.1523297346
GE,-0.2876338634,0.3656414802
LH,-0.2528820028,0.6104885571
ONB,-0.2724344801,0.2924608831
WSR,-0.53086165,0.3468383051
PBCT,-0.3386275276,0.2268844071
SIG,-0.6987957364,3.227910288
COR,0.04459421567,0.1138588396
FRBK,-0.4760768272,0.3013710206
HIFS,-0.3069019708,0.5089645527
LNN,-0.04295582572,0.4158944038
MGPI,-0.4425178089,0.7664656254
CDMO,-0.3337684393,1.258318939
AMRS,-0.1715204008,1.412108332
CHTR,-0.1005402489,0.5162392426
EFC,-0.6747558893,1.776799702
LYB,-0.4669852965,0.9299887322
PACB,-0.4046697851,7.477125049
VRA,-0.6508478521,0.9320375125
BAH,-0.03081098593,0.2842269018
GM,-0.4218576405,1.00385072
HHC,-0.6015774643,0.5623519997
CMRE,-0.5197275472,0.942968398
LPLA,-0.4072628391,0.9326129665
ZGNX,-0.525609418,-0.1916689451
FRC,-0.2982455003,0.7951805284
FLT,-0.3516615708,0.462581003
INFU,-0.004689682052,1.212013059
KNX,-0.08258942271,0.2824059714
TRGP,-0.8265420645,2.892262468
WD,-0.3739395584,1.330979172
ACNB,-0.2002632204,-0.1397219161
IBM,-0.1621105859,0.1801444665
QADA,-0.2159828716,0.5922479147
ASMB,-0.2751705523,-0.5920424174
NAV,-0.4301998985,1.665860208
AAT,-0.4488016416,0.1857497907
BKU,-0.4852566972,0.9203081047
IBIO,3.257028823,-0.009432952727
NLSN,-0.3793100152,0.683780533
KMI,-0.3345892001,0.03937466718
