tic,ggroup
AIR,2010
AAL,2030
CECE,2020
PNW,5510
PRG,4020
ABT,3510
AMD,4530
APD,1510
ALK,2030
ATRI,3510
MATX,2030
ALX,6010
ALCO,3020
Y,4030
HON,2010
SWKS,4530
HES,1010
UHAL,2030
ABM,2020
PRI,4030
ECOL,2020
AEP,5510
AXP,4020
AFL,4030
AIG,4030
ANAT,4030
AMSWA,4510
AVD,1510
AME,2010
AMGN,3520
ADI,4530
ANDE,3010
NBR,1010
APA,1010
APOG,2010
AAPL,4520
AMAT,4530
EPAC,2010
TREC,1510
ADM,3020
ARCB,2030
ARW,4520
ASH,1510
ATRO,2010
REX,1010
ADSK,4510
ADP,4510
AVY,1510
AVT,4520
AZZ,2010
BRT,6010
BMI,4520
BCPC,1510
PTVCB,4030
BLL,1510
BPOP,4010
BOH,4010
BK,4020
B,2010
BAX,3510
AIT,2010
BDX,3510
BELFB,4520
VZ,5010
BBY,2550
BIO,3520
BKH,5510
HRB,2530
BA,2010
RHI,2020
BRC,2020
BMY,3520
CAL,2550
BC,2520
MTRN,1510
MTZ,2010
UIS,4510
RAMP,4510
CI,3510
CNA,4030
CSX,2030
CTS,4520
TLS,4510
CBT,1510
CACI,2020
CAMP,4520
CWT,5510
CPB,3020
STZ,3020
CAH,3510
CSL,2010
CRS,1510
CASY,3010
CAT,2010
CATO,2550
CVCO,2520
LUMN,5010
MGLN,3510
CMD,3510
CHE,3510
JPM,4010
CPK,5510
CVX,1010
EAT,2530
CHD,3030
CHDN,2530
CBB,5010
CTAS,2020
IHRT,5020
CLF,1510
CLX,3030
COKE,3020
KO,3020
CDE,1510
COHR,4520
COHU,4530
CL,3030
CCF,1510
AON,4030
CMCSA,5020
CMA,4010
CBSH,4010
C,4010
CMC,1510
CAR,2030
DXC,4510
CMTL,4520
CAG,3020
SSTK,2550
ED,5510
BH,2530
CTO,6010
CMS,5510
CLR,1010
CTB,2510
COO,3510
TAP,3020
GLW,4520
CUZ,6010
CBRL,2530
CR,2010
OMF,4020
CCK,1510
CFR,4010
CMI,2010
CW,2010
WEN,2530
DAN,2510
DHR,3510
TGT,2550
DE,2010
DAL,2030
DLX,2020
DTE,5510
ATGE,2530
DBD,4520
DDS,2550
DIOD,4530
DIS,5020
DG,2550
D,5510
DCI,2010
DOV,2010
DD,1510
OMC,5020
DCO,2010
DUK,5510
DNB,2020
FLS,2010
DY,2010
PKI,3520
EML,2010
EGP,6010
ETN,2010
ECL,1510
EMR,2010
ATO,5510
EBF,2020
ENZ,3510
EFX,2020
EQT,1010
ESCA,2520
