gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,bkvlps,ceq,ch,cogs,csho,ebit,ebitda,emp,invt,lct,lt,ni,ppent,rect,sale,teq,wcap,xint,costat,prcc_c,mkvalt,ggroup,gind,gsector,gsubind,naics,sic
001004,20200531,2019,INDL,C,D,STD,AIR,USD,1438.7000,2079.0000,25.7173,902.6000,404.7000,1726.7000,35.0970,108.4000,152.1000,5.4000,692.7000,383.1000,1176.4000,4.4000,437.1000,229.1000,2089.3000,902.6000,1055.6000,9.3000,A,45.1000,707.9065,2010,201010,20,20101010,423860,5080
001045,20191231,2019,INDL,C,D,STD,AAL,USD,8206.0000,59995.0000,-0.2756,-118.0000,280.0000,32027.0000,428.2030,3706.0000,6024.0000,133.7000,1851.0000,18311.0000,60113.0000,1686.0000,43732.0000,1750.0000,45768.0000,-118.0000,-10105.0000,1095.0000,A,28.6800,12280.8620,2030,203020,20,20302010,481111,4512
001050,20191231,2019,INDL,C,D,STD,CECE,USD,179.4980,408.6370,5.4933,193.0170,35.6020,225.6600,35.1370,19.6220,30.2310,0.8300,55.3830,115.1880,215.6200,17.7070,28.8810,68.4340,341.8690,193.0170,64.3100,4.9970,A,7.6600,269.1494,2020,202010,20,20201050,333413,3564
001075,20191231,2019,INDL,C,D,STD,PNW,USD,1030.0300,18479.2470,48.2999,5430.6480,10.2830,2208.3200,112.4360,671.9600,1262.8890,6.2100,345.9200,2078.3650,12926.0590,538.3200,14377.7870,386.4200,3471.2090,5553.1880,-1048.3350,235.2510,A,89.9300,10111.3695,5510,551010,55,55101010,2211,4911
001076,20191231,2019,INDL,C,D,STD,PRG,USD,,3297.8000,26.0388,1737.2590,57.7550,137.2530,66.7180,313.9310,2391.3500,12.1000,14.0000,,1560.5410,31.4720,1986.2940,198.1020,3947.6560,1737.2590,,16.9670,A,57.1100,3810.2650,4020,402020,40,40202010,522220,6141
001078,20191231,2019,INDL,C,D,STD,ABT,USD,15667.0000,67887.0000,17.6386,31088.0000,3860.0000,11949.0000,1762.5030,5041.0000,8055.0000,107.0000,4316.0000,10863.0000,36586.0000,3687.0000,8972.0000,5425.0000,31904.0000,31301.0000,4804.0000,670.0000,A,86.8600,153091.0106,3510,351010,35,35101010,334510,3845
001161,20191231,2019,INDL,C,D,STD,AMD,USD,4597.0000,6028.0000,2.4162,2827.0000,1466.0000,3721.0000,1170.0000,583.0000,725.0000,11.4000,982.0000,2359.0000,3201.0000,341.0000,705.0000,1879.0000,6731.0000,2827.0000,2238.0000,94.0000,A,45.8600,53656.2000,4530,453010,45,45301020,334413,3674
001209,20190930,2019,INDL,C,D,STD,APD,USD,4618.3000,18942.8000,50.1490,11053.6000,2248.7000,4892.7000,220.4150,2120.5000,3203.3000,17.7000,388.3000,1820.9000,7554.5000,1760.0000,10337.6000,1415.4000,8918.9000,11388.3000,2797.4000,150.5000,A,234.9900,48901.2719,1510,151010,15,15101040,325120,2810
001230,20191231,2019,INDL,C,D,STD,ALK,USD,2037.0000,12993.0000,35.2114,4331.0000,221.0000,6379.0000,123.0000,1107.0000,1530.0000,24.1340,72.0000,3201.0000,8662.0000,769.0000,8613.0000,323.0000,8781.0000,4331.0000,-1164.0000,78.0000,A,67.7500,8333.2500,2030,203020,20,20302010,481111,4512
001234,20191231,2019,INDL,C,D,STD,ATRI,USD,132.3380,262.0310,128.2318,237.8700,45.0480,73.5250,1.8550,40.5290,51.3820,0.6160,42.0930,11.2740,24.1610,36.7610,84.6060,18.8860,155.0660,237.8700,121.0640,0.0000,A,751.5000,1394.0325,3510,351010,35,35101020,339112,3841
001254,20191231,2019,INDL,C,D,STD,MATX,USD,289.6000,2845.4000,18.7809,805.7000,21.2000,1780.6000,42.9000,108.3000,205.7000,1.9880,0.0000,436.7000,2039.7000,82.7000,1854.2000,218.7000,2203.1000,805.7000,-147.1000,38.1000,A,40.8000,1750.3200,2030,203030,20,20303010,483113,4400
001257,20191231,2019,INDL,C,D,STD,ALX,USD,,1265.5110,49.6407,253.5150,298.0630,121.0890,5.1070,99.4890,99.4890,0.0690,0.0000,,1011.9960,60.0750,0.0000,172.4680,226.3500,253.5150,,38.9010,A,330.3500,1687.0975,6010,601010,60,60101070,531120,6798
001266,20190930,2019,INDL,C,D,STD,ALCO,USD,61.9770,417.3880,25.9868,194.3030,18.6300,64.0500,7.4770,29.8280,43.7520,0.2350,40.1430,28.9510,217.9900,37.8330,345.6480,0.7130,122.2510,199.3980,33.0260,8.1990,A,35.8300,254.3675,3020,302020,30,30202010,111310,0100
001274,20191231,2019,INDL,C,D,STD,Y,USD,,26931.6040,610.9804,8776.7340,1179.0980,7697.6100,14.3650,1208.5930,1328.1060,10.7860,,,17950.1170,857.8010,415.0970,3416.7750,9025.7160,8776.7340,,99.9570,A,799.5700,,4030,403010,40,40301050,524126,6331
001300,20191231,2019,INDL,C,D,STD,HON,USD,24303.0000,58679.0000,26.0076,18494.0000,9067.0000,22975.0000,711.1000,7397.0000,8485.0000,113.0000,4421.0000,18098.0000,39966.0000,6143.0000,5998.0000,7790.0000,36709.0000,18706.0000,6205.0000,357.0000,A,177.0000,125864.7000,2010,201050,20,20105010,336413,9997
