tic,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income
AIR,1438.7,2079,383.1,1176.4,902.6,707.9065,45.1,35.097,25.7173,437.1,5.4,404.7,229.1,2089.3,1726.7,692.7,108.4,152.1,9.3,1055.6,4.4
AAL,8206,59995,18311,60113,-118,12280.862,28.68,428.203,-0.2756,43732,133.7,280,1750,45768,32027,1851,3706,6024,1095,-10105,1686
CECE,179.498,408.637,115.188,215.62,193.017,269.1494,7.66,35.137,5.4933,28.881,0.83,35.602,68.434,341.869,225.66,55.383,19.622,30.231,4.997,64.31,17.707
PNW,1030.03,18479.247,2078.365,12926.059,5553.188,10111.3695,89.93,112.436,48.2999,14377.787,6.21,10.283,386.42,3471.209,2208.32,345.92,671.96,1262.889,235.251,-1048.335,538.32
PRG,,3297.8,,1560.541,1737.259,3810.265,57.11,66.718,26.0388,1986.294,12.1,57.755,198.102,3947.656,137.253,14,313.931,2391.35,16.967,,31.472
ABT,15667,67887,10863,36586,31301,153091.0106,86.86,1762.503,17.6386,8972,107,3860,5425,31904,11949,4316,5041,8055,670,4804,3687
AMD,4597,6028,2359,3201,2827,53656.2,45.86,1170,2.4162,705,11.4,1466,1879,6731,3721,982,583,725,94,2238,341
APD,4618.3,18942.8,1820.9,7554.5,11388.3,48901.2719,234.99,220.415,50.149,10337.6,17.7,2248.7,1415.4,8918.9,4892.7,388.3,2120.5,3203.3,150.5,2797.4,1760
ALK,2037,12993,3201,8662,4331,8333.25,67.75,123,35.2114,8613,24.134,221,323,8781,6379,72,1107,1530,78,-1164,769
ATRI,132.338,262.031,11.274,24.161,237.87,1394.0325,751.5,1.855,128.2318,84.606,0.616,45.048,18.886,155.066,73.525,42.093,40.529,51.382,0,121.064,36.761
MATX,289.6,2845.4,436.7,2039.7,805.7,1750.32,40.8,42.9,18.7809,1854.2,1.988,21.2,218.7,2203.1,1780.6,0,108.3,205.7,38.1,-147.1,82.7
ALX,,1265.511,,1011.996,253.515,1687.0975,330.35,5.107,49.6407,0,0.069,298.063,172.468,226.35,121.089,0,99.489,99.489,38.901,,60.075
ALCO,61.977,417.388,28.951,217.99,199.398,254.3675,35.83,7.477,25.9868,345.648,0.235,18.63,0.713,122.251,64.05,40.143,29.828,43.752,8.199,33.026,37.833
Y,,26931.604,,17950.117,8776.734,,799.57,14.365,610.9804,415.097,10.786,1179.098,3416.775,9025.716,7697.61,,1208.593,1328.106,99.957,,857.801
HON,24303,58679,18098,39966,18706,125864.7,177,711.1,26.0076,5998,113,9067,7790,36709,22975,4421,7397,8485,357,6205,6143
