tic,RetEarly2020,RetLate2020,gic_sub_industry,gic_sub_industry_name,Aerospace & Defense,Agricultural & Farm Machinery,Agricultural Products,Air Freight & Logistics,Airlines,Airport Services,Alternative Carriers,Aluminum,Apparel Retail,"Apparel, Accessories & Luxury Goods",Application Software,Asset Management & Custody Banks,Auto Parts & Equipment,Automobile Manufacturers,Automotive Retail,Biotechnology,Brewers,Building Products,Casinos & Gaming,Coal & Consumable Fuels,Commercial Printing,Commodity Chemicals,Communications Equipment,Computer & Electronics Retail,Construction & Engineering,Construction Machinery & Heavy Trucks,Construction Materials,Consumer Electronics,Consumer Finance,Copper,Data Processing & Outsourced Services,Department Stores,Distillers & Vintners,Distributors,Diversified Banks,Diversified Chemicals,Diversified Metals & Mining,Diversified REITs,Diversified Real Estate Activities ,Diversified Support Services,Drug Retail,Education Services,Electric Utilities,Electrical Components & Equipment,Electronic Components,Electronic Equipment & Instruments ,Electronic Manufacturing Services,Environmental & Facilities Services,Fertilizers & Agricultural Chemicals,Financial Exchanges & Data,Food Distributors,Food Retail,Footwear,Forest Products,Gas Utilities,General Merchandise Stores,Gold,Health Care  Services,Health Care Distributors,Health Care Equipment,Health Care Facilities,Health Care REITs ,Health Care Supplies,Health Care Technology,Heavy Electrical Equipment,Home Furnishings,Home Improvement Retail,Homebuilding,Homefurnishing Retail,Hotel & Resort REITs ,"Hotels, Resorts & Cruise Lines",Household Appliances,Household Products,Housewares & Specialties,Human Resource & Employment Services,Hypermarkets & Super Centers,IT Consulting & Other Services,Independent Power Producers & Energy Traders,Industrial Conglomerates,Industrial Gases,Industrial Machinery,Industrial REITs,Insurance Brokers,Integrated Oil & Gas,Integrated Telecommunication Services,Internet & Direct Marketing Retail,Investment Banking & Brokerage,Leisure Facilities,Leisure Products,Life & Health Insurance,Life Sciences Tools & Services,Managed Health Care,Marine,Metal & Glass Containers,Mortgage REITs,Motorcycle Manufacturers,Multi-Sector Holdings,Multi-Utilities,Multi-line Insurance,Office REITs ,Office Services & Supplies,Oil & Gas Drilling,Oil & Gas Equipment & Services,Oil & Gas Exploration & Production,Oil & Gas Refining & Marketing,Oil & Gas Storage & Transportation,Other Diversified Financial Services,Packaged Foods & Meats,Paper Packaging,Paper Products,Personal Products,Pharmaceuticals,Property & Casualty Insurance,Railroads,Real Estate Development ,Real Estate Operating Companies,Real Estate Services ,Regional Banks,Reinsurance,Renewable Electricity ,Research & Consulting Services,Residential REITs,Restaurants,Retail REITs,Security & Alarm Services,Semiconductor Equipment ,Semiconductors,Silver,Soft Drinks,Specialized Consumer Services,Specialized Finance,Specialized REITs ,Specialty Chemicals,Specialty Stores,Steel,Systems Software,Technology Distributors,"Technology Hardware, Storage & Peripherals",Textiles,Thrifts & Mortgage Finance,Tires & Rubber,Tobacco,Trading Companies & Distributors,Trucking,Water Utilities,Wireless Telecommunication Services,current_assets,total_assets,current_liabilities,total_liabilities,total_equity,mkt_value,price_close,shares_out,book_value_share,ppe,employees,cash,receivables,sales,cogs,inventory,ebit,ebitda,interest_exp,working_cap,net_income,book_value,acid_ratio,current_ratio,coverage_ratio,bep,inventory_turnover,dso,roa,roe,debit_asset_ratio,debit_equity_ratio,book_price,equity_price,ebit_price,ebitda_price,sales_price,cash_assets,cash_current_liab,cash_total_liab,cash_interest,fixed_total,fixed_employees,working_coverage
SAFM,-0.2985662041,0.08131604208,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.111,1774.134,215.681,356.459,1417.675,3437.4012,176.22,22.204,63.8477,1185.86,17.055,95.417,138.835,3440.258,3039.57,289.928,61.194,196.614,4.156,365.43,53.294,1417.6743308,1.3500632879113135,2.694307797163403,0.06791515508056345,0.0344923213240939,0.00026132751924490396,14.729934499098617,0.030039444596631368,0.03759253707655139,0.20091999815121067,0.25143915213289364,0.41242639933912867,0.015504154708504785,0.017802402582509137,0.05719844398727737,1.0008310929780324,0.053782296038517946,0.4423987277507059,0.2676801539588003,0.043556179716402736,0.668416252661862,69.53151568454999,24.818235121090304
POST,-0.2395049363,0.2174281866,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126.3,11951.6,802.9,9014.3,2937.3,7631.064,109.1,72.1,40.5811,1736.0,10.1,1050.7,445.1,5681.1,3670.7,579.8,767.7,1140.0,629.0,1323.4,124.7,2925.89731,1.9261427325943459,2.648275003113713,0.8193304676305848,0.06423407744569765,0.00043274938041379884,28.596838640404147,0.010433749456139764,0.04245395431178293,0.7542337427624752,3.068906819187689,0.38491355858108384,0.016341102629987114,0.10060196061781163,0.14938939052273706,0.7444702337708083,0.08791291542554971,1.3086312118570185,0.11655924475555508,0.5986485200342628,0.14525251849124804,171.88118811881188,1084.301940862316
TR,0.05594609451,-0.1669019365,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.33,977.864,79.544,218.215,759.649,2236.2617,34.14,65.033,11.6841,188.455,2.0,138.96,48.462,527.113,311.318,59.088,69.214,87.993,0.22,273.786,64.92,759.8520753,3.699109926581514,4.4419440812632,0.003178547692663334,0.07078080387456742,0.0005199986236158826,33.55756735273082,0.06638960018980145,0.08546052189892964,0.22315475362627113,0.2872576676859971,0.33969593093688455,0.02903059154480891,0.030950760369414725,0.039348256959371074,0.23571167900429546,0.14210565068353065,1.7469576586543298,0.6368031528538368,0.0015831894070236039,0.1927210736871385,94.2275,0.8702418585835237
FRPT,0.08089304394,1.223112073,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.324,236.126,41.986,104.861,131.265,2135.9853,59.09,36.148,3.6313,174.442,0.462,9.472,18.581,245.862,125.295,12.542,-0.253,15.347,0.991,12.338,-1.383,131.2642324,0.9951412375553755,1.2938598580479208,-3.91699604743083,-0.0010714618466412,0.0002742459302894484,27.58484434357485,-0.005857042426501105,-0.01053593874985716,0.44408917272981374,0.7988496552774922,0.06145407461371574,-0.0006474763660592608,-0.00011844650803542517,0.007184974540789209,0.11510472473757194,0.04011417632958674,0.2255990091935407,0.09032910233547267,0.10462415540540541,0.7387665907185147,377.5800865800866,-48.327897233201575
KHC,-0.2175536841,0.4529962804,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8097.0,101450.0,7875.0,49701.0,51749.0,39230.73,32.13,1221.0,42.2793,7597.0,37.0,2279.0,2146.0,24977.0,15788.0,2721.0,5090.0,6084.0,1361.0,222.0,1935.0,51623.0253,0.6826666666666666,1.028190476190476,0.2673870333988212,0.05017249876786594,0.00047218105653331293,31.36045161548625,0.019073435189748644,0.037392026899070514,0.4899063578117299,0.9604243560262034,1.319093475956221,0.04932357873534344,0.12974522778444347,0.15508250802368448,0.6366692641202445,0.022464268112370626,0.2893968253968254,0.04585420816482566,0.5971917507678807,0.07488417939871858,205.32432432432432,59.359921414538306
TWNK,-0.2668497921,0.3733582389,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.156,3097.701,159.925,1517.477,1580.224,1775.4503,14.54,122.108,12.1678,242.384,2.0,285.087,107.492,907.675,579.607,47.608,147.517,190.851,39.87,293.231,63.115,1485.7857224,2.5358636861028607,2.8335532280756603,0.27027393452957965,0.04762144571086751,0.00022503675199286546,43.22536150053709,0.020374787624757845,0.03994054007533109,0.4898720050773138,0.9602923383014055,0.8900412475640687,0.035548728117030366,0.08308709063835805,0.10749441986632913,0.511236501523022,0.09203180035774917,1.7826293575113332,0.18786907478663595,0.13985204516516012,0.0782464156482501,121.192,79.25269609604317
SMPL,-0.325158354,0.6282443229,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.607,1141.65,48.032,304.206,837.444,2425.9563,28.54,81.875,10.2283,2.456,0.15,266.341,44.24,523.383,305.978,38.085,83.949,91.445,13.627,309.575,47.536,837.4420625,6.652273484343772,7.445182378414391,0.16232474478552456,0.07353304427801866,0.00034101296744675977,30.852358597814604,0.04163798011649805,0.0567631984944665,0.2664617001708054,0.3632553340880107,0.3452016015292609,0.019594747028213164,0.03460449802826209,0.03769441353910621,0.21574296288849065,0.23329479262470984,5.545074117255163,0.8755284248173935,0.05116373370979309,0.005943850087471404,16.373333333333335,50.25168286697876
LW,-0.3346065137,0.3937468676,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2302.6,4662.3,1024.9,4422.3,240.0,8771.1023,86.03,146.039,1.6434,1702.0,7.7,1364.0,342.1,3792.4,2672.4,486.7,614.9,792.7,108.9,1277.7,365.9,240.00049259999997,1.7717826129378473,2.2466582105571273,0.17710196779964224,0.13188769491452715,0.0004989614793946439,32.92545617550891,0.07848057825536751,1.5245833333333332,0.9485232610514124,18.42625,0.02736258132572459,0.04171653544617761,0.07010521357161686,0.09037632590375784,0.43237438924865806,0.2925594663578062,1.3308615474680456,0.30843678628767834,0.07983870967741936,0.36505587371040044,221.03896103896102,226.2831842576029
HSY,-0.09367657193,0.1687840073,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117.102,8140.395,2008.793,6395.401,1744.994,30693.6864,146.98,208.829,8.3285,2373.817,16.14,493.262,568.509,7986.252,4097.01,815.251,1716.582,1981.368,157.707,108.309,1149.692,1739.2323265,0.6480762328423088,1.0539174519226222,0.0918726865363845,0.2108720768463938,0.0005451693756084665,25.982874695163638,0.14123294999812663,0.6588515490597676,0.7856376748302754,3.664998848133575,0.05685188729888111,0.037456954013839146,0.055926224619275454,0.06455294988613684,0.2601920113447175,0.06059435690774219,0.24555143312426916,0.07712761091915894,0.31972258150840727,0.2916095594869782,147.07664188351922,9.950638806069268
BYND,-0.1190476603,0.8768774149,30202030,Packaged Foods & Meats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.594,451.923,47.697,67.833,384.09,4655.1456,75.6,61.576,6.2377,47.474,0.472,275.988,40.08,297.897,192.506,81.596,4.38,12.486,3.071,355.897,-12.443,384.0926152,6.750906765624672,8.461622324255194,0.7011415525114156,0.009691916543304943,0.001161266064078558,49.10824882425805,-0.027533451495055573,-0.03239605300840949,0.15009857874018362,0.17660704522377568,0.08250869747231966,-0.00267295613696809,0.0009408943084401055,0.002682193227210767,0.06399305748890002,0.6106969550122476,5.786275866406692,4.0686391579319805,0.011127295389654623,0.10504886894448832,100.58050847457626,249.5341751141553
